#,City,Obrázek,Počet obyvatel,Rozloha (km2),District
534,Všeruby,,1624,23.57,okres Plzeň-sever
535,Mirovice,,1624,22.04,okres Písek
536,Teplice nad Metují,,1613,56.06,okres Náchod
537,Jablonec nad Jizerou,,1601,22.33,okres Semily
538,Přimda,,1596,50.64,okres Tachov
539,Poběžovice,,1559,27.82,okres Domažlice
540,Mýto,,1526,17.8,okres Rokycany
541,Bystré,,1493,14.1,okres Svitavy
542,Kožlany,,1465,29.1,okres Plzeň-sever
543,Strmilov,,1448,30.61,okres Jindřichův Hradec
544,Mšeno,,1447,26.74,okres Mělník
545,Husinec,,1439,10.35,okres Prachatice
546,Lázně Kynžvart,,1427,32.58,okres Cheb
547,Strážov,,1424,35.7,okres Klatovy
548,Trhový Štěpánov,,1416,28.91,okres Benešov
549,Kašperské Hory,,1404,44.13,okres Klatovy
550,Svratka,,1385,14.51,okres Žďár nad Sázavou
551,Chřibská,,1356,15.96,okres Děčín
552,Harrachov,,1335,36.63,okres Jablonec nad Nisou
553,Habry,,1334,27.43,okres Havlíčkův Brod
554,Železnice,,1318,13.09,okres Jičín
555,Kasejovice,,1316,34.39,okres Plzeň-jih
556,Brandýs nad Orlicí,,1316,4.33,okres Ústí nad Orlicí
557,Rovensko pod Troskami,,1291,12.81,okres Semily
558,Vysoké nad Jizerou,,1289,20.67,okres Semily
559,Vidnava,,1256,4.27,okres Jeseník
560,Sedlice,,1242,30.53,okres Strakonice
561,Mirotice,,1237,25.6,okres Písek
562,Pilníkov,,1229,16.99,okres Trutnov
563,Hostouň,,1221,38.51,okres Domažlice
564,Žulová,,1197,14.76,okres Jeseník
565,Černošín,,1187,42.2,okres Tachov
566,Potštát,,1182,34.07,okres Přerov
567,Osečná,,1176,28.05,okres Liberec
568,Verneřice,,1174,31.41,okres Děčín
569,Nalžovské Hory,,1171,51.29,okres Klatovy
570,Úsov,,1168,9.31,okres Šumperk
571,Jevišovice,,1158,7.86,okres Znojmo
572,Manětín,,1151,84.64,okres Plzeň-sever
573,Měčín,,1114,38.9,okres Klatovy
574,Krásná Hora nad Vltavou,,1105,36.8,okres Příbram
575,Špindlerův Mlýn,,1057,76.94,okres Trutnov
576,Liběchov,,1057,11.77,okres Mělník
577,Červená Řečice,,1006,26.46,okres Pelhřimov
578,Blšany,,998,36.34,okres Louny
579,Bělčice,,983,34.32,okres Strakonice
580,Bečov nad Teplou,,954,19.82,okres Karlovy Vary
581,Hartmanice,,944,62.2,okres Klatovy
582,Bezdružice,,928,32.01,okres Tachov
583,Miletín,,927,8.93,okres Jičín
584,Abertamy,,924,8.7,okres Karlovy Vary
585,Stráž nad Nežárkou,,873,36.29,okres Jindřichův Hradec
586,Vysoké Veselí,,866,9.34,okres Jičín
587,Deštná,,763,12.7,okres Jindřichův Hradec
588,Krásno,,716,25.36,okres Sokolov
589,Janské Lázně,,682,13.73,okres Trutnov
590,Stárkov,,652,16.53,okres Náchod
591,Lipnice nad Sázavou,,647,11.14,okres Havlíčkův Brod
592,Pec pod Sněžkou,,646,52.1,okres Trutnov
593,Chyše,,608,28.62,okres Karlovy Vary
594,Mašťov,,564,23.05,okres Chomutov
595,Ledvice,,552,4.97,okres Teplice
596,Rabí,,492,14.32,okres Klatovy
597,Úterý,,463,25.91,okres Plzeň-sever
598,Hora Svaté Kateřiny,,438,18.46,okres Most
599,Výsluní,,397,30.34,okres Chomutov
600,Horní Blatná,,389,5.63,okres Karlovy Vary
601,Krásné Údolí,,388,9.16,okres Karlovy Vary
602,Rožmberk nad Vltavou,,377,24.81,okres Český Krumlov
603,Andělská Hora,,375,15.9,okres Bruntál
604,Janov,,281,11.03,okres Bruntál
605,Rejštejn,,261,30.43,okres Klatovy
606,Boží Dar,,251,37.91,okres Karlovy Vary
607,Loučná pod Klínovcem,,118,20.89,okres Chomutov
608,Přebuz,,73,29.79,okres Sokolov
