Stát,Formální název,Kontinent,Hlavní město,Členství ve strukturách OSN,Zpochybnění svrchovanosti,Další informace
Ghana,Ghanská republika,Afrika,Akkra,Členský stát OSN,není,
Grenada,Grenada,Severní Amerika,Saint George's,Členský stát OSN,není,Grenada je součástí Commonwealth realm.[pozn. 1]
Gruzie,Gruzie,Asie,Tbilisi,Členský stát OSN,není,Obsahuje dvě autonomní republiky Abcházii a Adžárii. V Abcházii a Jižní Osetii byly zformovány de-facto nezávislé státy.
Guatemala,Guatemalská republika,Severní Amerika,Ciudad de Guatemala,Členský stát OSN,není,
Guinea,Guinejská republika,Afrika,Konakry,Členský stát OSN,není,
Guinea-Bissau,Republika Guinea-Bissau,Afrika,Bissau,Členský stát OSN,není,
Guyana,Guyanská kooperativní republika,Jižní Amerika,Georgetown,Členský stát OSN,není,
Haiti,Republika Haiti,Severní Amerika,Port-au-Prince,Členský stát OSN,není,
Honduras,Honduraská republika,Severní Amerika,Tegucigalpa,Členský stát OSN,není,
Chile,Chilská republika,Jižní Amerika,Santiago de Chile Valparaíso (sídlo parlamentu),Členský stát OSN,není,Chile má dvě speciální teritoria v regionu Valparaíso:  Velikonoční ostrov Ostrovy Juana Fernándeze
Chorvatsko,Chorvatská republika,Evropa,Záhřeb,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Indie,Indická republika,Asie,Nové Dillí,Členský stát OSN,není,"Indie je federace 29 států a sedmi svazových teritorii. Indie si také nárokuje celé teritorium Kašmíru, které ale kontroluje pouze částečně. Zatímco Čínská lidová republika a Pákistán kontrolují zbytek tohoto území."
Indonésie,Indonéská republika,Asie,Jakarta,Členský stát OSN,není,"Indonésie má pět provincií oficialně označovaných jako autonomní: Ačeh, Jakartu, Yogyakartu, Papuu a Západní Papuu."
Irák,Irácká republika,Asie,Bagdád,Členský stát OSN,není,Irák je federace 19 guvernorátu z nichž tři tvoří autonomní Irácký Kurdistán.
Írán,Íránská islámská republika,Asie,Teherán,Členský stát OSN,není,
Irsko,Irsko,Evropa,Dublin,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Island,Islandská republika,Evropa,Reykjavík,Členský stát OSN,není,
Itálie,Italská republika,Evropa,Řím,Členský stát OSN,není,"Členský stát EU.[pozn. 3] Itálie má pět autonomních oblastí: Údolí Aosty, Furlánsko – Julské Benátsko, Sardinii, Sicílii a Tridentsko – Horní Adiže."
Izrael,Stát Izrael,Asie,Jeruzalém (de facto)Tel Aviv (mezinárodně uznávané),Členský stát OSN,Částečně neuznaný,"Izrael kontroluje území nárokované Palestinou, anektoval Východní Jeruzalém. Částečně kontroluje většinu Západního břehu Jordánu, a ačkoliv v důsledku jednostranného stažení neudržuje civilní ani vojenskou přítomnost v Pásmu Gazy je stále některými považovaný za okupační mocnost ve smyslu mezinárodního práva. Izrael není uznán 32 členskými zeměmi OSN (většinou Arabskými zeměmi) a SADR."
Jamajka,Jamajka,Severní Amerika,Kingston,Členský stát OSN,není,Jamajka je součástí Commonwealth realm.[pozn. 1]
Japonsko,Japonsko,Asie,Tokio,Členský stát OSN,není,
